Questions,Answers
touch pad issues,In case you're facing issues related to the keyboard go through the link mentioned : https://www.youtube.com/watch?v=Prey7JzybO8
buttons not working,In case you're facing issues related to the keyboard go through the link mentioned : https://www.youtube.com/watch?v=Prey7JzybO8
keyboard slow,In case you're facing issues related to the keyboard go through the link mentioned : https://www.youtube.com/watch?v=Prey7JzybO8
touch screen issues,To enable or know more about your Touch Screen refer to this link : https://youtu.be/IVuXeup6or8
touch screen on,To enable or know more about your Touch Screen refer to this link : https://youtu.be/IVuXeup6or8
Touch screen enable,To enable or know more about your Touch Screen refer to this link : https://youtu.be/IVuXeup6or8
Laptop working slow,Here's the link in case you face any laptop related issues:https://www.youtube.com/watch?v=DyrTahr49aUU
laptop Bootup Issue,Here's the link in case you face any laptop related issues:https://www.youtube.com/watch?v=DyrTahr49aUU
Laptop dead,Here's the link in case you face any laptop related issues: https://www.youtube.com/watch?v=DyrTahr49aU
Laptop damaged,For damage issues please visit Laptop-Helpdesk campus 6 or you can also mail your issues with snapshots to laptop.service@kiit.ac.in
crack in the laptop,For damage issues please visit Laptop-Helpdesk campus 6 or you can also mail your issues with snapshots to laptop.service@kiit.ac.in
Formating Bios,For any BIOS related issues kindly visit this link : https://www.youtube.com/watch?v=L6U2AQVH0t4
Bios not updated,For any BIOS related issues kindly visit this link : https://www.youtube.com/watch?v=L6U2AQVH0t4
Bios issues,For any BIOS related issues kindly visit this link : https://www.youtube.com/watch?v=L6U2AQVH0t4
Formatting,If you wish to format or reset your laptop or any issues with it kindly visit laptop Helpdesk Campus-6
Driver update,If you wish to format or reset your laptop or any issues with it kindly visit laptop Helpdesk Campus-6
format C disk,If you wish to format or reset your laptop or any issues with it kindly visit laptop Helpdesk Campus-6
HP laptop not working,If you're facing issues with your HP laptop please go through the link provided here : https://youtu.be/14GKIpGPNRM
Hp laptop hardware diagnosis,If you're facing issues with your HP laptop please go through the link provided here : https://youtu.be/14GKIpGPNRM
audio jack not working,Please visit laptop Helpdesk Campus-6
AUDIO BOARD NOT WORKING,Please visit laptop Helpdesk Campus-6
EXTERNAL AUDIO NOT WORKING,Please visit laptop Helpdesk Campus-6
mic problem,Please visit laptop Helpdesk Campus-6
speaker not working,Please visit laptop Helpdesk Campus-6
Speaker giving a cracking sound,Please visit laptop Helpdesk Campus-6
My issue is not resolved,"Dear Student,If you are in Bhubaneswar you can come with your laptop at KIIT campus 6, Laptop helpdesk.Ignore if already availed"
I didnt find the answer to my question,"Dear Student,If you are in Bhubaneswar you can come with your laptop at KIIT campus 6, Laptop helpdesk.Ignore if already availed"
Chatbot didnt give any solution to my question,"Dear Student,If you are in Bhubaneswar you can come with your laptop at KIIT campus 6, Laptop helpdesk.Ignore if already availed"
Not found any solution,"Dear Student,If you are in Bhubaneswar you can come with your laptop at KIIT campus 6, Laptop helpdesk.Ignore if already availed."
Power On/off,If you are facing Issue with Blank Screen or powering up your laptop please watch this tutorial: https://www.youtube.com/watch?v=T9VlR15NflA
Black Screen Issue,If you are facing Issue with Blank Screen or powering up your laptop please watch this tutorial: https://www.youtube.com/watch?v=T9VlR15NflA
Hinge Issue,Please visit laptop Helpdesk laocated at Campus-6
Laptop  Hinge,Please visit laptop Helpdesk laocated at Campus-6
Wifi Issue in laptop due to drivers,Kindly follow this link to resolve this issue: https://www.youtube.com/watch?v=V1G-ofBT1jc
Hey,Hello! I'm KiiT Chat bot. How may I help you?
How are you,Hello! I'm KiiT Chat bot. How may I help you?
Is anyone there?,Hello! I'm KiiT Chat bot. How may I help you?
Whats up,Hello! I'm KiiT Chat bot. How may I help you?
Hi,Hello! I'm KiiT Chat bot. How may I help you?
Hello,Hello! I'm KiiT Chat bot. How may I help you?
Good day,Hello! I'm KiiT Chat bot. How may I help you?
Liquid in the laptop,For damage issues please visit Laptop-Helpdesk campus 6 or you can also mail your issues with snapshots to laptop.service@kiit.ac.in
Dolby Audio Issue,If you are facing issue with dolby sound atmosphere please watch this video: https://www.youtube.com/watch?v=PMPVvaliBlc
