Question,Answer
internet not working,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
internet issue,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
net not working,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
net issue,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
net problem,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
 net down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi isn't providing internet,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
unable to access internet,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi not responding,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
net down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi connected but no internet access,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi disconnecting and saying action needed,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi disconnecting frequently,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi not servicable,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Suddenly Wifi disconnected,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
 My wifi is not working,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi is very week,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi connectivity is slow,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
My wifi is very slow,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Very weak network in wifi can't connect,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
weak internet speed,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
network is very low,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Signal strength is weak.,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Net speed is slow.,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Net not coming.,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Low bandwidth,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi connects but data is not working,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
My wifi is not working  on my system in my campus,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
system not supporting wi-fi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
issue in connection to wi-fi through my system,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
 Wifi keeps dropping,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi not stable,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi not functional,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Slow speed,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
fluctuating speed,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi disconnecting automatically,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi is unstable,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Disconnects many times,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
"Wifi connection is weak, it generally doesnt connect at all, or if connects, doesnt work.","Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
 Connectivity issue,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
WiFi disconnected to laptop,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
My device is not connecting with wifi,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Unable to connect to the wifi,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
My device is not connecting,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Connection problems,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi issues,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
my device is unable to connect to kiit wifi,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Connection issues,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi connection issues,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
"Can't connect to the system, need solution ASAP","Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Sometimes it struggles to connect,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi is not connecting to laptop,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
not connecting to my mobile,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi is not working on my system,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Unable to connect phone with KIIT wifi.,"Check if you are trying to connect multiple devices at once, which is not allowed. If not, you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
I have forgotten the wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Forgot my wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
wifi password forgotten,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
I lost my wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
I don't remember the wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Wifi not connecting even with right password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Wifi password issues,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Can't recall wifi password.,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Wifi key lost,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
I don't have Id password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
I don't remember my wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
What is my wifi password?,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
The Wi-Fi password is correct but it show that your password is incorrect.,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
signing issues,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Not remembering password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
forgot wi-fi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
forgot wi-fi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
wi-fi password recovery,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
not able to access wi-fi,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
password forgotten,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
not remember wi-fi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
wi-fi password not remember,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
I don't know the wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Need help with wifi password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Can't access wifi without password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Reset my password,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
Showing wifi password incorrect want to reset wifi password ,Mail to: 'helpdesk@kiit.ac.in' from your KiiT Email ID to regain your password.
This site is not opening through kiit wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
a site is not opening,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
site not working,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Site blocked on kiit wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Some sites are not opening while using KIIT wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
site blocked on wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
particular website is unreachable,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Sites are not opening using kiit wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
This site shows Unable to connect while using KIIT wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
site down,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
 Sites not opening upon connecting to KIIT wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
 Page not opening,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Site is blocked through kiit wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Wifi is it out,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Unable to open any sites,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
The KIIT wifi is blocking even an uncensored website.,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
SITE NOT RESPONDING,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
 Cannot access website,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
wi-fi not allowing to open site,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
 site not opening when connected through kiit wi-fi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Website not responding,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Several useful sites and app are banned in the wifi,KiiT wifi blocks a few sites unless and untill they are education related. Mail us at: 'helpdesk@kiit.ac.in' with the site link and we can check
Unable to connect to the wifi in hostel,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Hostel wifi is not working,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Hostel wifi is slow,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
issues in hostel wifi,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Hostel wifi is very slow,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Hostel wifi is not available and usually slow,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
the hostel signals are too weak to download,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
 hostel wifi sucks,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Hostel wifi down,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Wifi is slow in our hostel,"Mail to: 'helpdesk@kiit.ac.in' with your hostel address (incl. hostel, room no. and floor no.)"
Wifi Issue in laptop due to drivers,Kindly follow this link to resolve this issue: https://www.youtube.com/watch?v=V1G-ofBT1jc
