Questions,Answers
"Section changes, I want to know how to change the section","if you have any issues with section changes,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"UPI Payment not Updated, facing issues while paying through upi","If your UPI Payment is not updated,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Record not showing in library, no record shown in library","If your record is not showing in the library,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Attendance Issues, I have issues with my attendance on sap","If you are facing any attendance issues,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Subject Booking, I want to book subjects on sap","If you are facing any subject booking issues,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Subject Change, I want to know how to change my subject on sap",if you want to change your subject please send your details at helpdesksap.eam@kiit.ac.in
"Result Download, I am unable to download the result from sap","If you are facing any issues with result download,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Open Elective Booking,"If you are facing any issues related to open elective bookings,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Back Log Booking,"if you are facing any issues with back log bookings,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Student Record not showing in Paytm ,"if your record is not shown,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Record not showing in KIIT Website ,"if your record is not shown,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Convocation booking, I want to book for convocation on sap",if you want to book for convocation and facing any issues with that kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID
"Class Biometrics, I am having issues with the biometrics","if there is some issue related to class biometrics,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Fees not updated , my fees is not updated on sap","if the updated fees is not reflected,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Money Receipt, I want to get the money receipt, unable to get the money receipt from sap","if tou want to have the money receipt or have any issues with it,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
MPR,"if you are facing any issues with the MPR,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Attendance, having issues with the attendance","If you are having any issues related to attendance,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Grade Sheet,"If you are having any doubts regarding your gradesheets,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
"Time Table, I am facing issues with the time table","if you are facing any issues with the time table,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Open elective,"if you are facing any issues related to open electives,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Departmental Elective,"if you are facing any issues related to Departmental electives,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Photo issue,"If you are having any issues related to your photo,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Minor ,"If you have any queries related to Minor,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Honours,"If you have any queries related to Honours,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Coursera Subject,"if you have any queries related to coursera subjects,,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Withheld ,"if your results are withheld,,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Backlog booking,"If you have any issues with the backlog bookings,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Study Material,"If you have any queries related to study material,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Feedback,"If you want to share a feedback,,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Name Spelling Correction,"If you want any correction to your name,,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
Stage ,"If you have any queries related to the stage,kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID"
My fees is not being reflected,if you want to book for convocation and facing any issues with that kindly contact us at helpdesksap.eam@kiit.ac.in using your registered email ID
I want to register myself for convocation,If you are facing any issues related to payment kindly contact at helpdesksap.eam@kiit.ac.in
