Question,Answer
Can't remember email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
how to reset email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Email password reset not working,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Forgot my 2 step verification password.,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
My email appears to be blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email is blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email got blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
How to unblock my email ID,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email got blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
My kiit mail got blocked how to gain access again,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
my email is not opening,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
How to unblock my email id,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
my email id is blocked please tell procedure to unblock,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
E-mail blocked what to do,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email seems to be blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email has been blocked for some reason,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
What is the procedure to unblock my KIIT email Id?,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email id restricted,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
cannot use email id,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Unable to access it got blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
How to unblock my email ID,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email account blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email not sending or receiving,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email blocked by provider,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email account suspended,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
my kiit email is not servicable,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email blocked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Unable to use email,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Cannot login KIIT mail id in the laptop,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Cannot connect to my email id,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
USERNAME CAN'T BE FOUND,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
USERNAME NOT AVAILABLE,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
My inbox of email is not getting updated,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email not accessible on mobile,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email not updating,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
Email account hacked,"Dear Student, please mail from your personal mail ID to helpdesk@kiit.ac.in stating all your details and keep your tutor mentor in CC asking him/her to authorize you in the same as their mentee to carryout the whole process."
